project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
commercial,Chennai,47300,2,244,730,standard,low,False,low,10,normal,moderate,17,easy,12,raft,50,809,standard,flat,208030000.0,724
residential,Nashik,3200,1,23,109,standard,low,False,moderate,4,normal,shallow,30,difficult,11,isolated,5,18,standard,flat,10315000.0,114
residential,Bhopal,5600,4,36,322,economy,medium,False,moderate,1,clay,high,67,moderate,10,pile,8,27,basic,flat,30374000.0,343
commercial,Rajkot,37800,1,213,730,economy,high,False,moderate,17,normal,deep,20,moderate,10,isolated,46,746,basic,flat,124483000.0,727
commercial,Mangalore,5100,6,40,280,economy,medium,True,low,7,clay,moderate,37,moderate,12,raft,8,62,basic,flat,30705000.0,276
residential,Kochi,4800,4,27,258,premium,high,False,high,9,marshy,shallow,8,easy,11,pile,10,18,premium,steep_slope,102106000.0,298
infrastructure,Madurai,6300,2,46,255,standard,medium,False,moderate,8,normal,moderate,13,easy,10,isolated,3,34,standard,flat,31625000.0,249
commercial,Raipur,48100,5,251,730,economy,low,False,moderate,14,normal,deep,0,moderate,11,pile,50,708,basic,hilly,214870000.0,736
commercial,Aurangabad,18500,3,124,610,premium,medium,False,moderate,8,marshy,shallow,11,moderate,11,pile,22,232,standard,flat,194681000.0,600
commercial,Guwahati,23600,7,159,730,economy,medium,False,high,14,rocky,moderate,43,difficult,16,pile,29,291,basic,gentle_slope,174015000.0,727
commercial,Agra,34000,3,176,730,standard,medium,False,high,2,clay,shallow,12,easy,10,raft,44,521,premium,flat,355766000.0,752
residential,Aligarh,7000,4,76,391,standard,high,False,moderate,11,normal,high,1,easy,12,raft,12,47,standard,gentle_slope,31648000.0,393
commercial,Faridabad,28600,7,197,730,standard,high,False,high,2,rocky,deep,7,easy,12,raft,37,544,premium,flat,537660000.0,739
residential,Pondicherry,1100,1,5,60,economy,low,False,high,10,normal,high,0,easy,10,isolated,1,7,basic,flat,2085000.0,58
commercial,Navi Mumbai,31100,6,297,730,standard,medium,True,high,3,marshy,moderate,47,difficult,12,pile,39,478,premium,gentle_slope,785535000.0,760
commercial,Nashik,18700,8,147,730,economy,medium,False,moderate,7,normal,shallow,16,easy,11,strip,24,228,basic,flat,92975000.0,725
industrial,Jodhpur,21600,2,58,677,economy,low,True,high,2,rocky,high,4,easy,16,isolated,9,514,standard,flat,65974000.0,706
commercial,Ahmedabad,16600,4,76,451,standard,medium,False,moderate,9,rocky,moderate,25,moderate,14,strip,22,146,standard,flat,134940000.0,448
commercial,Udaipur,35400,8,348,730,standard,high,True,low,13,normal,shallow,0,moderate,10,pile,45,527,premium,flat,624204000.0,740
infrastructure,Mumbai,8100,2,43,325,standard,medium,False,high,3,marshy,moderate,0,moderate,10,strip,5,39,standard,flat,64984000.0,337
commercial,Bhopal,30200,6,273,730,premium,medium,False,moderate,7,sandy,shallow,16,moderate,12,raft,39,406,premium,flat,549106000.0,715
commercial,Kanpur,37500,8,264,730,premium,high,True,moderate,3,marshy,deep,30,moderate,14,strip,48,729,luxury,steep_slope,1537604000.0,755
residential,Faridabad,2000,2,17,92,standard,low,False,high,2,normal,moderate,22,easy,16,pile,4,12,standard,flat,13832000.0,109
industrial,Srinagar,22900,3,98,672,economy,low,True,high,5,sandy,deep,1,easy,14,isolated,12,768,standard,gentle_slope,99332000.0,706
residential,Thiruvananthapuram,6300,3,40,238,economy,medium,False,high,9,clay,moderate,11,difficult,10,raft,12,47,basic,flat,21367000.0,241
commercial,Aurangabad,17200,8,176,730,premium,medium,False,moderate,9,marshy,moderate,7,easy,10,strip,23,156,premium,gentle_slope,325103000.0,736
commercial,Dehradun,14400,2,88,511,premium,low,False,moderate,10,normal,deep,28,easy,10,isolated,20,249,premium,steep_slope,151224000.0,513
residential,Dehradun,3900,3,22,223,standard,medium,False,high,1,clay,moderate,30,difficult,10.5,strip,8,18,standard,flat,20199000.0,229
residential,Srinagar,6700,1,40,226,premium,high,False,high,7,rocky,shallow,23,moderate,10.5,isolated,12,39,luxury,hilly,145445000.0,270
residential,Agra,2100,2,14,98,standard,medium,False,low,6,rocky,deep,0,moderate,10,isolated,4,13,standard,flat,7460000.0,112
residential,Thiruvananthapuram,7900,3,52,391,premium,low,False,low,3,marshy,deep,31,difficult,10.5,pile,14,27,luxury,flat,135226000.0,388
residential,Nagpur,7000,1,43,311,economy,low,False,moderate,4,sandy,high,0,moderate,18,isolated,12,26,basic,flat,15250000.0,297
commercial,Aligarh,5700,8,51,241,standard,high,False,moderate,5,normal,deep,0,moderate,14,pile,7,48,standard,hilly,74174000.0,254
residential,Nagpur,6200,4,49,418,premium,medium,True,moderate,11,clay,shallow,8,moderate,11,pile,9,38,premium,flat,71131000.0,411
industrial,Coimbatore,36100,2,149,730,standard,low,False,low,7,clay,moderate,0,moderate,20,strip,20,1513,premium,flat,168656000.0,732
residential,Chandigarh,2000,4,21,108,standard,medium,False,moderate,11,normal,moderate,0,easy,9,isolated,4,15,premium,gentle_slope,11783000.0,93
residential,Pune,1300,1,7,60,economy,medium,False,moderate,7,normal,moderate,12,moderate,10,isolated,1,7,basic,hilly,3497000.0,62
residential,Goa,4600,4,37,232,premium,low,False,high,14,normal,deep,28,easy,16,strip,9,19,luxury,gentle_slope,74296000.0,228
commercial,Mysore,22400,5,144,689,standard,medium,False,high,2,clay,moderate,28,difficult,16,strip,27,359,standard,flat,187961000.0,708
residential,Thane,5400,1,34,255,economy,low,False,high,7,marshy,deep,1,easy,9,raft,11,43,standard,hilly,23856000.0,266
commercial,Jamshedpur,39200,3,261,730,standard,medium,False,moderate,11,rocky,moderate,23,moderate,11,isolated,50,633,standard,steep_slope,242581000.0,715
residential,Kochi,2100,2,18,72,standard,low,False,high,10,clay,deep,4,difficult,12,raft,3,14,standard,gentle_slope,9742000.0,68
infrastructure,Indore,17300,1,134,730,standard,medium,False,low,8,rocky,high,19,difficult,12,raft,12,47,standard,hilly,175705000.0,725
residential,Meerut,6400,1,34,342,standard,medium,False,moderate,2,clay,deep,37,moderate,10.5,raft,10,42,premium,flat,31660000.0,339
residential,Thane,6700,1,47,297,premium,medium,False,high,14,sandy,moderate,7,easy,11,strip,13,25,luxury,flat,83079000.0,288
residential,Tirupati,5200,3,44,305,standard,medium,False,moderate,8,sandy,deep,0,easy,10.5,isolated,9,35,standard,gentle_slope,18392000.0,297
residential,Hyderabad,4400,3,44,257,economy,medium,False,moderate,9,normal,moderate,38,moderate,10,strip,7,27,basic,flat,14739000.0,251
commercial,Kolkata,14500,1,76,542,premium,low,False,high,8,normal,deep,2,easy,16,isolated,20,288,premium,flat,118732000.0,533
commercial,Nashik,31000,6,239,730,economy,high,True,moderate,17,normal,moderate,46,moderate,11,pile,37,345,basic,flat,267039000.0,731
industrial,Vijayawada,15700,3,46,533,standard,medium,False,moderate,2,marshy,deep,49,moderate,18,pile,7,629,standard,steep_slope,121254000.0,552
industrial,Hubli,54500,2,286,730,standard,high,True,low,9,marshy,moderate,7,easy,18,pile,28,1700,standard,flat,414138000.0,754
residential,Hyderabad,7900,1,49,351,standard,low,False,moderate,8,clay,shallow,59,difficult,14,strip,13,40,standard,gentle_slope,39125000.0,352
residential,Nagpur,4200,2,36,239,premium,high,False,moderate,9,normal,shallow,42,easy,10,strip,6,30,premium,gentle_slope,48518000.0,241
industrial,Faridabad,52100,3,230,730,standard,medium,False,high,17,marshy,moderate,47,moderate,14,raft,27,1790,standard,gentle_slope,325827000.0,742
infrastructure,Kolkata,3600,1,14,126,premium,low,False,high,8,normal,moderate,46,moderate,11,isolated,4,7,premium,flat,28150000.0,113
residential,Bhubaneswar,3900,4,37,270,premium,medium,False,high,10,sandy,high,14,moderate,9,strip,8,12,standard,flat,24952000.0,259
infrastructure,Kolkata,21200,1,110,730,economy,high,False,low,11,sandy,shallow,0,moderate,10.5,isolated,14,109,standard,flat,110112000.0,747
